사고ID,데이터구분,연도,사고일자,월,요일,학년,학년급,사고시간_정리,발생시각,사고장소_정리,사고당시활동_정리,사고형태_정리
SAMPLE-00903,합성 예시 데이터,2025,2025-12-08,12,월요일,6,고학년,5교시,13:22,교실·학습공간,수업·실습,부딪힘·충돌
SAMPLE-00904,합성 예시 데이터,2022,2022-07-25,7,월요일,5,고학년,4교시,12:09,운동장,구기·라켓스포츠,물체에 맞음
SAMPLE-00905,합성 예시 데이터,2025,2025-10-07,10,화요일,3,고학년,3교시,10:58,교실·학습공간,이동·보행,넘어짐
SAMPLE-00906,합성 예시 데이터,2022,2022-04-22,4,금요일,4,고학년,하교,15:30,교실·학습공간,놀이·휴식,넘어짐
SAMPLE-00907,합성 예시 데이터,2021,2021-10-06,10,수요일,6,고학년,쉬는시간,10:47,화장실·위생공간,이동·보행,넘어짐
SAMPLE-00908,합성 예시 데이터,2025,2025-08-04,8,월요일,1,저학년,점심시간,12:26,운동장,놀이·휴식,부딪힘·충돌
SAMPLE-00909,합성 예시 데이터,2021,2021-06-09,6,수요일,5,고학년,5교시,13:40,강당·체육관,구기·라켓스포츠,부딪힘·충돌
SAMPLE-00910,합성 예시 데이터,2022,2022-08-15,8,월요일,4,고학년,6교시,13:50,운동장,구기·라켓스포츠,부딪힘·충돌
SAMPLE-00911,합성 예시 데이터,2021,2021-03-17,3,수요일,6,고학년,1교시,09:33,운동장,놀이·휴식,부딪힘·충돌
SAMPLE-00912,합성 예시 데이터,2021,2021-05-03,5,월요일,1,저학년,방과후,17:00,운동장,기타 체육,넘어짐
SAMPLE-00913,합성 예시 데이터,2024,2024-04-25,4,목요일,4,고학년,5교시,13:22,교실·학습공간,수업·실습,기타
SAMPLE-00914,합성 예시 데이터,2023,2023-11-03,11,금요일,1,저학년,하교,15:03,교문·외부동선,이동·보행,넘어짐
SAMPLE-00915,합성 예시 데이터,2024,2024-10-31,10,목요일,6,고학년,6교시,13:54,운동장,이동·보행,추락
SAMPLE-00916,합성 예시 데이터,2024,2024-05-17,5,금요일,6,고학년,3교시,10:54,교실·학습공간,수업·실습,넘어짐
SAMPLE-00917,합성 예시 데이터,2023,2023-06-21,6,수요일,1,저학년,3교시,10:48,계단·복도,놀이·휴식,넘어짐
SAMPLE-00918,합성 예시 데이터,2022,2022-04-28,4,목요일,4,고학년,6교시,14:03,교실·학습공간,수업·실습,부딪힘·충돌
SAMPLE-00919,합성 예시 데이터,2023,2023-12-04,12,월요일,3,고학년,5교시,13:10,교실·학습공간,수업·실습,넘어짐
SAMPLE-00920,합성 예시 데이터,2024,2024-05-10,5,금요일,3,고학년,3교시,11:17,운동장,구기·라켓스포츠,부딪힘·충돌
SAMPLE-00921,합성 예시 데이터,2021,2021-09-01,9,수요일,5,고학년,4교시,11:52,교실·학습공간,수업·실습,넘어짐
SAMPLE-00922,합성 예시 데이터,2023,2023-10-04,10,수요일,1,저학년,2교시,10:31,운동장,이동·보행,넘어짐
SAMPLE-00923,합성 예시 데이터,2022,2022-03-22,3,화요일,6,고학년,방과후,17:01,강당·체육관,이동·보행,미끄러짐
SAMPLE-00924,합성 예시 데이터,2022,2022-04-13,4,수요일,4,고학년,쉬는시간,10:54,계단·복도,놀이·휴식,부딪힘·충돌
SAMPLE-00925,합성 예시 데이터,2023,2023-10-06,10,금요일,1,저학년,1교시,09:40,강당·체육관,구기·라켓스포츠,넘어짐
SAMPLE-00926,합성 예시 데이터,2022,2022-08-10,8,수요일,3,고학년,방과후,15:17,운동장,기타 체육,넘어짐
SAMPLE-00927,합성 예시 데이터,2024,2024-09-16,9,월요일,4,고학년,5교시,13:43,강당·체육관,기타 체육,부딪힘·충돌
SAMPLE-00928,합성 예시 데이터,2021,2021-06-03,6,목요일,4,고학년,2교시,10:06,강당·체육관,구기·라켓스포츠,부딪힘·충돌
SAMPLE-00929,합성 예시 데이터,2021,2021-03-23,3,화요일,1,저학년,쉬는시간,14:05,계단·복도,놀이·휴식,넘어짐
SAMPLE-00930,합성 예시 데이터,2023,2023-03-15,3,수요일,1,저학년,3교시,10:50,강당·체육관,기타 체육,추락
SAMPLE-00931,합성 예시 데이터,2025,2025-08-14,8,목요일,4,고학년,6교시,13:58,운동장,기타 체육,추락
SAMPLE-00932,합성 예시 데이터,2023,2023-09-07,9,목요일,5,고학년,점심시간,12:10,급식·위생공간,식사·위생,넘어짐
SAMPLE-00933,합성 예시 데이터,2023,2023-09-07,9,목요일,2,저학년,점심시간,12:41,계단·복도,이동·보행,추락
SAMPLE-00934,합성 예시 데이터,2025,2025-03-19,3,수요일,3,고학년,점심시간,12:26,계단·복도,이동·보행,넘어짐
SAMPLE-00935,합성 예시 데이터,2022,2022-11-18,11,금요일,5,고학년,점심시간,12:17,계단·복도,놀이·휴식,부딪힘·충돌
SAMPLE-00936,합성 예시 데이터,2025,2025-07-09,7,수요일,5,고학년,5교시,13:36,강당·체육관,이동·보행,미끄러짐
SAMPLE-00937,합성 예시 데이터,2025,2025-08-06,8,수요일,3,고학년,쉬는시간,12:25,교실·학습공간,수업·실습,넘어짐
SAMPLE-00938,합성 예시 데이터,2021,2021-04-26,4,월요일,6,고학년,등교 전,08:16,계단·복도,놀이·휴식,넘어짐
SAMPLE-00939,합성 예시 데이터,2023,2023-05-12,5,금요일,5,고학년,점심시간,12:13,교실·학습공간,수업·실습,넘어짐
SAMPLE-00940,합성 예시 데이터,2022,2022-03-04,3,금요일,2,저학년,점심시간,12:58,계단·복도,기타,부딪힘·충돌
SAMPLE-00941,합성 예시 데이터,2022,2022-12-06,12,화요일,3,고학년,3교시,11:14,운동장,구기·라켓스포츠,부딪힘·충돌
SAMPLE-00942,합성 예시 데이터,2023,2023-11-23,11,목요일,5,고학년,3교시,11:13,교실·학습공간,놀이·휴식,부딪힘·충돌
SAMPLE-00943,합성 예시 데이터,2021,2021-07-16,7,금요일,2,저학년,점심시간,12:32,교실·학습공간,놀이·휴식,미끄러짐
SAMPLE-00944,합성 예시 데이터,2025,2025-07-11,7,금요일,5,고학년,등교 전,07:42,교문·외부동선,교통·탑승,넘어짐
SAMPLE-00945,합성 예시 데이터,2025,2025-09-01,9,월요일,6,고학년,하교,17:10,계단·복도,이동·보행,부딪힘·충돌
SAMPLE-00946,합성 예시 데이터,2025,2025-05-23,5,금요일,3,고학년,점심시간,12:52,급식·위생공간,식사·위생,미끄러짐
SAMPLE-00947,합성 예시 데이터,2024,2024-11-12,11,화요일,1,저학년,5교시,13:26,교실·학습공간,수업·실습,기타
SAMPLE-00948,합성 예시 데이터,2023,2023-05-18,5,목요일,3,고학년,하교,15:37,교실·학습공간,이동·보행,부딪힘·충돌
SAMPLE-00949,합성 예시 데이터,2023,2023-08-09,8,수요일,2,저학년,쉬는시간,14:15,교실·학습공간,수업·실습,기타
SAMPLE-00950,합성 예시 데이터,2023,2023-09-05,9,화요일,1,저학년,쉬는시간,12:21,교실·학습공간,놀이·휴식,부딪힘·충돌
SAMPLE-00951,합성 예시 데이터,2022,2022-06-08,6,수요일,4,고학년,3교시,11:07,운동장,구기·라켓스포츠,물체에 맞음
SAMPLE-00952,합성 예시 데이터,2022,2022-09-01,9,목요일,1,저학년,3교시,10:55,강당·체육관,구기·라켓스포츠,부딪힘·충돌
SAMPLE-00953,합성 예시 데이터,2024,2024-06-28,6,금요일,1,저학년,3교시,10:45,강당·체육관,기타 체육,부딪힘·충돌
SAMPLE-00954,합성 예시 데이터,2025,2025-08-27,8,수요일,2,저학년,5교시,13:01,강당·체육관,이동·보행,부딪힘·충돌
SAMPLE-00955,합성 예시 데이터,2022,2022-05-16,5,월요일,1,저학년,1교시,09:49,교실·학습공간,수업·실습,물체에 맞음
SAMPLE-00956,합성 예시 데이터,2023,2023-03-02,3,목요일,5,고학년,6교시,14:20,강당·체육관,이동·보행,미끄러짐
SAMPLE-00957,합성 예시 데이터,2023,2023-10-16,10,월요일,2,저학년,방과후,16:30,운동장,놀이·휴식,부딪힘·충돌
SAMPLE-00958,합성 예시 데이터,2022,2022-06-03,6,금요일,5,고학년,점심시간,12:15,교실·학습공간,놀이·휴식,넘어짐
SAMPLE-00959,합성 예시 데이터,2025,2025-08-25,8,월요일,6,고학년,1교시,09:04,교실·학습공간,놀이·휴식,기타
SAMPLE-00960,합성 예시 데이터,2022,2022-03-30,3,수요일,6,고학년,5교시,13:09,교실·학습공간,이동·보행,넘어짐
SAMPLE-00961,합성 예시 데이터,2025,2025-09-12,9,금요일,2,저학년,2교시,10:14,운동장,구기·라켓스포츠,넘어짐
SAMPLE-00962,합성 예시 데이터,2022,2022-09-19,9,월요일,2,저학년,쉬는시간,12:58,교실·학습공간,놀이·휴식,미끄러짐
SAMPLE-00963,합성 예시 데이터,2024,2024-11-12,11,화요일,3,고학년,하교,16:14,교실·학습공간,수업·실습,넘어짐
SAMPLE-00964,합성 예시 데이터,2021,2021-05-19,5,수요일,4,고학년,6교시,14:04,강당·체육관,기타 체육,추락
SAMPLE-00965,합성 예시 데이터,2021,2021-11-01,11,월요일,4,고학년,점심시간,12:32,운동장,놀이·휴식,넘어짐
SAMPLE-00966,합성 예시 데이터,2023,2023-03-10,3,금요일,3,고학년,3교시,10:48,교실·학습공간,이동·보행,부딪힘·충돌
SAMPLE-00967,합성 예시 데이터,2024,2024-12-17,12,화요일,2,저학년,쉬는시간,13:29,화장실·위생공간,식사·위생,미끄러짐
SAMPLE-00968,합성 예시 데이터,2025,2025-07-07,7,월요일,4,고학년,쉬는시간,12:16,운동장,구기·라켓스포츠,기타
SAMPLE-00969,합성 예시 데이터,2023,2023-10-24,10,화요일,5,고학년,4교시,11:59,계단·복도,놀이·휴식,부딪힘·충돌
SAMPLE-00970,합성 예시 데이터,2021,2021-04-29,4,목요일,1,저학년,방과후,16:22,강당·체육관,이동·보행,부딪힘·충돌
SAMPLE-00971,합성 예시 데이터,2023,2023-10-26,10,목요일,5,고학년,5교시,13:09,강당·체육관,기타 체육,넘어짐
SAMPLE-00972,합성 예시 데이터,2025,2025-10-14,10,화요일,5,고학년,쉬는시간,11:20,화장실·위생공간,놀이·휴식,부딪힘·충돌
SAMPLE-00973,합성 예시 데이터,2024,2024-05-01,5,수요일,3,고학년,방과후,16:57,계단·복도,이동·보행,부딪힘·충돌
SAMPLE-00974,합성 예시 데이터,2023,2023-05-15,5,월요일,5,고학년,방과후,16:36,교실·학습공간,수업·실습,부딪힘·충돌
SAMPLE-00975,합성 예시 데이터,2023,2023-08-10,8,목요일,1,저학년,점심시간,12:13,급식·위생공간,놀이·휴식,부딪힘·충돌
SAMPLE-00976,합성 예시 데이터,2022,2022-11-28,11,월요일,5,고학년,5교시,13:12,강당·체육관,기타 체육,넘어짐
SAMPLE-00977,합성 예시 데이터,2022,2022-11-24,11,목요일,1,저학년,3교시,10:44,강당·체육관,기타 체육,추락
SAMPLE-00978,합성 예시 데이터,2022,2022-04-14,4,목요일,6,고학년,3교시,10:56,운동장,구기·라켓스포츠,물체에 맞음
SAMPLE-00979,합성 예시 데이터,2021,2021-11-01,11,월요일,6,고학년,6교시,14:13,강당·체육관,구기·라켓스포츠,넘어짐
SAMPLE-00980,합성 예시 데이터,2021,2021-09-28,9,화요일,3,고학년,쉬는시간,10:46,교실·학습공간,이동·보행,넘어짐
SAMPLE-00981,합성 예시 데이터,2022,2022-09-05,9,월요일,2,저학년,점심시간,12:42,급식·위생공간,식사·위생,화상
SAMPLE-00982,합성 예시 데이터,2023,2023-05-15,5,월요일,4,고학년,4교시,11:49,교실·학습공간,수업·실습,부딪힘·충돌
SAMPLE-00983,합성 예시 데이터,2021,2021-09-01,9,수요일,4,고학년,방과후,15:33,강당·체육관,구기·라켓스포츠,넘어짐
SAMPLE-00984,합성 예시 데이터,2022,2022-03-28,3,월요일,5,고학년,6교시,14:26,강당·체육관,구기·라켓스포츠,부딪힘·충돌
SAMPLE-00985,합성 예시 데이터,2024,2024-07-26,7,금요일,1,저학년,하교,15:50,교문·외부동선,놀이·휴식,부딪힘·충돌
SAMPLE-00986,합성 예시 데이터,2023,2023-07-21,7,금요일,3,고학년,쉬는시간,11:10,계단·복도,이동·보행,부딪힘·충돌
SAMPLE-00987,합성 예시 데이터,2023,2023-12-18,12,월요일,2,저학년,쉬는시간,10:37,계단·복도,놀이·휴식,미끄러짐
SAMPLE-00988,합성 예시 데이터,2021,2021-09-23,9,목요일,6,고학년,점심시간,12:35,계단·복도,놀이·휴식,넘어짐
SAMPLE-00989,합성 예시 데이터,2024,2024-09-24,9,화요일,5,고학년,4교시,11:34,강당·체육관,기타 체육,부딪힘·충돌
SAMPLE-00990,합성 예시 데이터,2024,2024-03-14,3,목요일,4,고학년,하교,15:40,교문·외부동선,이동·보행,부딪힘·충돌
SAMPLE-00991,합성 예시 데이터,2022,2022-04-01,4,금요일,6,고학년,4교시,12:05,강당·체육관,기타 체육,부딪힘·충돌
SAMPLE-00992,합성 예시 데이터,2023,2023-07-14,7,금요일,1,저학년,하교,15:06,교실·학습공간,놀이·휴식,부딪힘·충돌
SAMPLE-00993,합성 예시 데이터,2023,2023-07-24,7,월요일,1,저학년,4교시,11:35,강당·체육관,구기·라켓스포츠,넘어짐
SAMPLE-00994,합성 예시 데이터,2023,2023-08-29,8,화요일,6,고학년,점심시간,12:34,계단·복도,놀이·휴식,넘어짐
SAMPLE-00995,합성 예시 데이터,2022,2022-12-16,12,금요일,2,저학년,하교,16:51,교문·외부동선,교통·탑승,넘어짐
SAMPLE-00996,합성 예시 데이터,2021,2021-09-06,9,월요일,6,고학년,등교 전,08:40,교문·외부동선,교통·탑승,부딪힘·충돌
SAMPLE-00997,합성 예시 데이터,2021,2021-10-11,10,월요일,6,고학년,점심시간,12:34,계단·복도,이동·보행,부딪힘·충돌
SAMPLE-00998,합성 예시 데이터,2023,2023-06-23,6,금요일,5,고학년,1교시,09:41,운동장,기타 체육,추락
SAMPLE-00999,합성 예시 데이터,2025,2025-04-16,4,수요일,6,고학년,1교시,09:20,교실·학습공간,수업·실습,넘어짐
SAMPLE-01000,합성 예시 데이터,2024,2024-09-03,9,화요일,3,고학년,방과후,15:25,강당·체육관,구기·라켓스포츠,부딪힘·충돌
SAMPLE-01001,합성 예시 데이터,2021,2021-03-16,3,화요일,4,고학년,5교시,13:10,강당·체육관,구기·라켓스포츠,물체에 맞음
SAMPLE-01002,합성 예시 데이터,2025,2025-12-05,12,금요일,1,저학년,하교,17:16,교문·외부동선,이동·보행,미끄러짐
SAMPLE-01003,합성 예시 데이터,2024,2024-03-22,3,금요일,3,고학년,방과후,15:37,교실·학습공간,수업·실습,물체에 맞음
SAMPLE-01004,합성 예시 데이터,2025,2025-09-08,9,월요일,6,고학년,2교시,10:35,교실·학습공간,이동·보행,넘어짐
SAMPLE-01005,합성 예시 데이터,2021,2021-09-07,9,화요일,1,저학년,1교시,09:48,교실·학습공간,놀이·휴식,미끄러짐
SAMPLE-01006,합성 예시 데이터,2025,2025-04-10,4,목요일,4,고학년,쉬는시간,11:06,교실·학습공간,놀이·휴식,기타
SAMPLE-01007,합성 예시 데이터,2024,2024-10-03,10,목요일,5,고학년,쉬는시간,11:21,교실·학습공간,이동·보행,미끄러짐
SAMPLE-01008,합성 예시 데이터,2022,2022-12-15,12,목요일,5,고학년,2교시,10:10,계단·복도,놀이·휴식,부딪힘·충돌
SAMPLE-01009,합성 예시 데이터,2025,2025-05-27,5,화요일,4,고학년,방과후,16:45,강당·체육관,구기·라켓스포츠,부딪힘·충돌
SAMPLE-01010,합성 예시 데이터,2022,2022-04-15,4,금요일,5,고학년,점심시간,12:47,급식·위생공간,이동·보행,부딪힘·충돌
SAMPLE-01011,합성 예시 데이터,2025,2025-07-25,7,금요일,1,저학년,쉬는시간,11:48,화장실·위생공간,식사·위생,넘어짐
SAMPLE-01012,합성 예시 데이터,2023,2023-09-27,9,수요일,3,고학년,쉬는시간,12:06,운동장,구기·라켓스포츠,물체에 맞음
SAMPLE-01013,합성 예시 데이터,2022,2022-11-28,11,월요일,1,저학년,1교시,09:02,교실·학습공간,수업·실습,넘어짐
SAMPLE-01014,합성 예시 데이터,2022,2022-03-30,3,수요일,4,고학년,점심시간,12:46,운동장,기타 체육,추락
SAMPLE-01015,합성 예시 데이터,2022,2022-11-07,11,월요일,3,고학년,3교시,11:29,운동장,기타 체육,넘어짐
SAMPLE-01016,합성 예시 데이터,2021,2021-08-16,8,월요일,5,고학년,등교 전,08:47,계단·복도,이동·보행,추락
SAMPLE-01017,합성 예시 데이터,2023,2023-06-27,6,화요일,5,고학년,쉬는시간,12:38,교실·학습공간,수업·실습,기타
SAMPLE-01018,합성 예시 데이터,2024,2024-10-17,10,목요일,5,고학년,점심시간,12:22,교실·학습공간,수업·실습,넘어짐
SAMPLE-01019,합성 예시 데이터,2021,2021-08-03,8,화요일,2,저학년,점심시간,12:17,급식·위생공간,식사·위생,화상
SAMPLE-01020,합성 예시 데이터,2024,2024-07-01,7,월요일,6,고학년,6교시,14:03,강당·체육관,구기·라켓스포츠,물체에 맞음
SAMPLE-01021,합성 예시 데이터,2021,2021-10-20,10,수요일,4,고학년,3교시,11:18,계단·복도,이동·보행,넘어짐
SAMPLE-01022,합성 예시 데이터,2025,2025-04-17,4,목요일,5,고학년,쉬는시간,13:58,화장실·위생공간,식사·위생,넘어짐
SAMPLE-01023,합성 예시 데이터,2025,2025-08-05,8,화요일,6,고학년,6교시,14:15,운동장,놀이·휴식,부딪힘·충돌
SAMPLE-01024,합성 예시 데이터,2025,2025-03-06,3,목요일,3,고학년,쉬는시간,10:18,계단·복도,이동·보행,넘어짐
SAMPLE-01025,합성 예시 데이터,2024,2024-07-08,7,월요일,5,고학년,4교시,12:02,운동장,이동·보행,넘어짐
SAMPLE-01026,합성 예시 데이터,2022,2022-03-30,3,수요일,6,고학년,3교시,11:20,강당·체육관,기타 체육,부딪힘·충돌
SAMPLE-01027,합성 예시 데이터,2024,2024-08-02,8,금요일,2,저학년,점심시간,12:22,계단·복도,이동·보행,넘어짐
SAMPLE-01028,합성 예시 데이터,2024,2024-10-18,10,금요일,6,고학년,6교시,13:59,교실·학습공간,이동·보행,넘어짐
SAMPLE-01029,합성 예시 데이터,2021,2021-05-10,5,월요일,5,고학년,방과후,16:03,강당·체육관,이동·보행,미끄러짐
SAMPLE-01030,합성 예시 데이터,2025,2025-11-21,11,금요일,6,고학년,6교시,14:22,계단·복도,이동·보행,넘어짐
SAMPLE-01031,합성 예시 데이터,2022,2022-08-08,8,월요일,5,고학년,1교시,09:38,교실·학습공간,놀이·휴식,넘어짐
SAMPLE-01032,합성 예시 데이터,2025,2025-03-07,3,금요일,3,고학년,쉬는시간,12:45,계단·복도,이동·보행,넘어짐
SAMPLE-01033,합성 예시 데이터,2023,2023-07-18,7,화요일,4,고학년,쉬는시간,11:26,화장실·위생공간,식사·위생,화상
SAMPLE-01034,합성 예시 데이터,2023,2023-08-16,8,수요일,1,저학년,점심시간,12:15,급식·위생공간,이동·보행,부딪힘·충돌
SAMPLE-01035,합성 예시 데이터,2021,2021-11-29,11,월요일,6,고학년,쉬는시간,13:46,계단·복도,이동·보행,넘어짐
SAMPLE-01036,합성 예시 데이터,2025,2025-08-13,8,수요일,4,고학년,점심시간,12:25,운동장,구기·라켓스포츠,넘어짐
SAMPLE-01037,합성 예시 데이터,2024,2024-05-21,5,화요일,2,저학년,5교시,13:34,운동장,구기·라켓스포츠,기타
SAMPLE-01038,합성 예시 데이터,2022,2022-12-08,12,목요일,2,저학년,1교시,09:03,교실·학습공간,수업·실습,물체에 맞음
SAMPLE-01039,합성 예시 데이터,2025,2025-08-18,8,월요일,2,저학년,3교시,10:40,계단·복도,이동·보행,부딪힘·충돌
SAMPLE-01040,합성 예시 데이터,2022,2022-11-29,11,화요일,6,고학년,6교시,13:56,교실·학습공간,놀이·휴식,넘어짐
SAMPLE-01041,합성 예시 데이터,2022,2022-08-11,8,목요일,1,저학년,2교시,10:34,교실·학습공간,놀이·휴식,기타
SAMPLE-01042,합성 예시 데이터,2022,2022-09-02,9,금요일,1,저학년,쉬는시간,13:37,계단·복도,이동·보행,미끄러짐
SAMPLE-01043,합성 예시 데이터,2023,2023-09-27,9,수요일,5,고학년,방과후,14:55,교실·학습공간,놀이·휴식,넘어짐
SAMPLE-01044,합성 예시 데이터,2025,2025-07-10,7,목요일,3,고학년,방과후,14:44,교실·학습공간,수업·실습,부딪힘·충돌
SAMPLE-01045,합성 예시 데이터,2023,2023-03-22,3,수요일,1,저학년,4교시,11:46,운동장,놀이·휴식,부딪힘·충돌
SAMPLE-01046,합성 예시 데이터,2025,2025-09-08,9,월요일,4,고학년,점심시간,12:45,급식·위생공간,식사·위생,미끄러짐
SAMPLE-01047,합성 예시 데이터,2021,2021-07-20,7,화요일,1,저학년,쉬는시간,10:28,운동장,구기·라켓스포츠,기타
SAMPLE-01048,합성 예시 데이터,2023,2023-05-22,5,월요일,2,저학년,쉬는시간,10:29,계단·복도,기타,넘어짐
SAMPLE-01049,합성 예시 데이터,2025,2025-07-28,7,월요일,3,고학년,방과후,15:27,강당·체육관,기타 체육,넘어짐
SAMPLE-01050,합성 예시 데이터,2025,2025-06-09,6,월요일,4,고학년,6교시,13:58,운동장,구기·라켓스포츠,넘어짐
SAMPLE-01051,합성 예시 데이터,2024,2024-06-26,6,수요일,1,저학년,하교,15:20,계단·복도,놀이·휴식,넘어짐
SAMPLE-01052,합성 예시 데이터,2023,2023-05-19,5,금요일,1,저학년,쉬는시간,11:22,교실·학습공간,수업·실습,기타
SAMPLE-01053,합성 예시 데이터,2024,2024-05-28,5,화요일,1,저학년,방과후,15:08,강당·체육관,이동·보행,미끄러짐
SAMPLE-01054,합성 예시 데이터,2023,2023-07-10,7,월요일,1,저학년,1교시,09:25,강당·체육관,기타 체육,기타
SAMPLE-01055,합성 예시 데이터,2023,2023-03-20,3,월요일,4,고학년,점심시간,12:29,운동장,구기·라켓스포츠,기타
SAMPLE-01056,합성 예시 데이터,2025,2025-06-11,6,수요일,2,저학년,점심시간,12:37,운동장,이동·보행,넘어짐
SAMPLE-01057,합성 예시 데이터,2024,2024-12-03,12,화요일,4,고학년,4교시,11:33,계단·복도,이동·보행,넘어짐
SAMPLE-01058,합성 예시 데이터,2024,2024-11-04,11,월요일,6,고학년,5교시,13:49,강당·체육관,이동·보행,넘어짐
SAMPLE-01059,합성 예시 데이터,2021,2021-05-13,5,목요일,4,고학년,방과후,16:30,강당·체육관,이동·보행,넘어짐
SAMPLE-01060,합성 예시 데이터,2024,2024-10-01,10,화요일,6,고학년,쉬는시간,10:08,화장실·위생공간,이동·보행,넘어짐
SAMPLE-01061,합성 예시 데이터,2025,2025-08-20,8,수요일,1,저학년,3교시,11:09,교실·학습공간,수업·실습,물체에 맞음
SAMPLE-01062,합성 예시 데이터,2021,2021-04-14,4,수요일,2,저학년,쉬는시간,10:37,교실·학습공간,수업·실습,부딪힘·충돌
SAMPLE-01063,합성 예시 데이터,2024,2024-05-07,5,화요일,2,저학년,점심시간,12:52,계단·복도,이동·보행,넘어짐
SAMPLE-01064,합성 예시 데이터,2024,2024-06-11,6,화요일,3,고학년,쉬는시간,11:41,계단·복도,놀이·휴식,부딪힘·충돌
SAMPLE-01065,합성 예시 데이터,2023,2023-05-19,5,금요일,4,고학년,5교시,13:41,계단·복도,이동·보행,미끄러짐
SAMPLE-01066,합성 예시 데이터,2025,2025-07-03,7,목요일,6,고학년,방과후,17:12,강당·체육관,기타 체육,부딪힘·충돌
SAMPLE-01067,합성 예시 데이터,2023,2023-03-14,3,화요일,5,고학년,6교시,14:06,운동장,기타 체육,기타
SAMPLE-01068,합성 예시 데이터,2025,2025-08-19,8,화요일,5,고학년,하교,16:47,교문·외부동선,이동·보행,넘어짐
SAMPLE-01069,합성 예시 데이터,2025,2025-06-23,6,월요일,6,고학년,방과후,15:16,강당·체육관,기타 체육,기타
SAMPLE-01070,합성 예시 데이터,2024,2024-04-23,4,화요일,2,저학년,쉬는시간,13:21,교실·학습공간,놀이·휴식,기타
SAMPLE-01071,합성 예시 데이터,2025,2025-09-03,9,수요일,6,고학년,점심시간,12:14,교실·학습공간,수업·실습,물체에 맞음
SAMPLE-01072,합성 예시 데이터,2023,2023-09-25,9,월요일,6,고학년,6교시,14:29,강당·체육관,구기·라켓스포츠,부딪힘·충돌
SAMPLE-01073,합성 예시 데이터,2023,2023-12-15,12,금요일,6,고학년,쉬는시간,10:11,화장실·위생공간,식사·위생,미끄러짐
SAMPLE-01074,합성 예시 데이터,2023,2023-08-23,8,수요일,3,고학년,6교시,14:29,교실·학습공간,수업·실습,기타
SAMPLE-01075,합성 예시 데이터,2025,2025-09-08,9,월요일,1,저학년,쉬는시간,09:57,교실·학습공간,이동·보행,추락
SAMPLE-01076,합성 예시 데이터,2023,2023-06-19,6,월요일,3,고학년,쉬는시간,13:32,계단·복도,놀이·휴식,넘어짐
SAMPLE-01077,합성 예시 데이터,2022,2022-06-07,6,화요일,6,고학년,방과후,17:12,강당·체육관,구기·라켓스포츠,부딪힘·충돌
SAMPLE-01078,합성 예시 데이터,2024,2024-08-01,8,목요일,3,고학년,3교시,11:05,강당·체육관,기타 체육,기타
SAMPLE-01079,합성 예시 데이터,2021,2021-03-08,3,월요일,3,고학년,5교시,13:18,강당·체육관,구기·라켓스포츠,물체에 맞음
SAMPLE-01080,합성 예시 데이터,2024,2024-04-11,4,목요일,4,고학년,점심시간,12:35,교실·학습공간,수업·실습,부딪힘·충돌
SAMPLE-01081,합성 예시 데이터,2024,2024-12-11,12,수요일,2,저학년,쉬는시간,13:25,교실·학습공간,이동·보행,부딪힘·충돌
SAMPLE-01082,합성 예시 데이터,2024,2024-04-17,4,수요일,1,저학년,1교시,09:46,교실·학습공간,놀이·휴식,넘어짐
SAMPLE-01083,합성 예시 데이터,2023,2023-11-29,11,수요일,2,저학년,쉬는시간,10:45,계단·복도,이동·보행,추락
SAMPLE-01084,합성 예시 데이터,2022,2022-11-21,11,월요일,1,저학년,쉬는시간,11:02,교실·학습공간,수업·실습,물체에 맞음
SAMPLE-01085,합성 예시 데이터,2025,2025-07-28,7,월요일,6,고학년,하교,17:03,교실·학습공간,이동·보행,넘어짐
SAMPLE-01086,합성 예시 데이터,2023,2023-12-20,12,수요일,4,고학년,쉬는시간,11:38,계단·복도,이동·보행,미끄러짐
SAMPLE-01087,합성 예시 데이터,2021,2021-07-12,7,월요일,4,고학년,쉬는시간,13:07,운동장,구기·라켓스포츠,넘어짐
SAMPLE-01088,합성 예시 데이터,2025,2025-09-10,9,수요일,1,저학년,하교,15:53,교문·외부동선,이동·보행,부딪힘·충돌
SAMPLE-01089,합성 예시 데이터,2024,2024-04-03,4,수요일,3,고학년,2교시,10:31,운동장,놀이·휴식,기타
SAMPLE-01090,합성 예시 데이터,2021,2021-05-20,5,목요일,6,고학년,쉬는시간,11:37,교실·학습공간,수업·실습,부딪힘·충돌
SAMPLE-01091,합성 예시 데이터,2021,2021-10-12,10,화요일,2,저학년,점심시간,12:48,급식·위생공간,식사·위생,넘어짐
SAMPLE-01092,합성 예시 데이터,2021,2021-03-18,3,목요일,5,고학년,점심시간,12:36,계단·복도,이동·보행,부딪힘·충돌
SAMPLE-01093,합성 예시 데이터,2021,2021-06-07,6,월요일,1,저학년,쉬는시간,10:15,운동장,기타 체육,넘어짐
SAMPLE-01094,합성 예시 데이터,2022,2022-06-24,6,금요일,3,고학년,쉬는시간,13:15,계단·복도,이동·보행,넘어짐
SAMPLE-01095,합성 예시 데이터,2022,2022-12-15,12,목요일,5,고학년,점심시간,12:26,계단·복도,이동·보행,미끄러짐
SAMPLE-01096,합성 예시 데이터,2022,2022-05-25,5,수요일,6,고학년,방과후,14:54,계단·복도,이동·보행,미끄러짐
